fcc,phcy_id,last_4_sum,curr_sum,nec_1_cd,nec_2_cd,nec_3_cd,nec_4_cd,widzlvl2,widzlvl3,widzlvl4,widzlvl5,nationallvl,classification,pseudofcc,isqcpass,avg_sum,week,week1,week2,week3,week4
00000000003,118843015,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,74BONZ0002,74BON     ,74        ,          ,1,OTHER,R01D02A000002,1,0.5,201528,0,0,1,0
00000000003,122638514,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,59DOUZ0002,59DOU     ,59        ,          ,1,OTHER,R01D02A000002,1,0.5,201529,0,0,1,0
00000000003,124319840,0.0,0.0,06        ,06F       ,06F3      ,06F3O     ,85LROZ0000,85LRO     ,85        ,          ,1,OTHER,R01D02A000002,1,0.5,201530,0,0,1,0
00000000003,127833185,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,62ARRZ0000,62ARR     ,62        ,          ,1,OTHER,R01D02A000002,1,0.5,201531,0,0,1,0
00000000003,131350820,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,20CALZ0000,20CAL     ,20        ,          ,1,OTHER,R01D02A000002,1,0.5,201532,0,0,1,0
00000000003,143851396,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,59LAMZ0001,59LAM     ,59        ,          ,1,OTHER,R01D02A000002,1,0.5,201530,0,1,0,0
00000000003,152680180,0.0,0.0,06        ,06F       ,06F3      ,06F3O     ,14HONZ0000,14HON     ,14        ,          ,1,OTHER,R01D02A000002,1,0.5,201529,0,1,0,0
00000000003,158710861,1.0,1.0,06        ,06F       ,06F3      ,06F3O     ,45PITZ0002,45PIT     ,45        ,          ,1,OTHER,R01D02A000002,1,0.5,201528,0,1,0,0
00000000003,161381502,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,80FRIZ0000,80FRI     ,80        ,          ,1,OTHER,R01D02A000002,1,0.5,201530,0,0,1,0
00000000003,178303567,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,44PORZ0000,44POR     ,44        ,          ,1,OTHER,R01D02A000002,1,0.5,201528,0,1,0,0
00000000003,178646413,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,13AIXZ0002,13AIX     ,13        ,          ,1,OTHER,R01D02A000002,0,0.5,201531,0,0,1,0
00000000003,178681400,0.0,0.0,06        ,06F       ,06F3      ,06F3O     ,59LMAZ0002,59LMA     ,59        ,          ,1,OTHER,R01D02A000002,1,0.5,201529,0,1,0,0
00000000003,179650034,2.0,1.0,06        ,06F       ,06F3      ,06F3O     ,94SUCZ0000,94SUC     ,94        ,          ,1,OTHER,R01D02A000002,0,0.5,201531,0,0,1,0
00000000003,184501083,0.0,0.0,06        ,06F       ,06F3      ,06F3O     ,85FONZ0002,85FON     ,85        ,          ,1,OTHER,R01D02A000002,0,0.5,201528,0,0,1,0
00000000003,186712970,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,84APTZ0000,84APT     ,84        ,          ,1,OTHER,R01D02A000002,1,0.5,201531,0,1,0,0
00000000003,187296576,0.0,0.0,06        ,06F       ,06F3      ,06F3O     ,29LANZ0001,29LAN     ,29        ,          ,1,OTHER,R01D02A000002,0,0.5,201531,0,0,1,0
00000000003,188962354,0.0,0.0,06        ,06F       ,06F3      ,06F3O     ,80ABBZ0000,80ABB     ,80        ,          ,1,OTHER,R01D02A000002,0,0.5,201530,0,0,1,0
00000000003,191154578,2.0,0.0,06        ,06F       ,06F3      ,06F3O     ,84SORZ0001,84SOR     ,84        ,          ,1,OTHER,R01D02A000002,1,0.5,201532,0,0,1,0
00000000004,199600332,1.0,1.0,06        ,06F       ,06F3      ,06F3O     ,45PITZ0002,45PIT     ,45        ,          ,1,OTHER,R01D02A000002,1,0.5,201528,0,0,1,0
00000000003,222408070,2.0,0.0,06        ,06F       ,06F3      ,06F3O     ,77PROZ0001,77PRO     ,77        ,          ,1,OTHER,R01D02A000002,1,0.5,201529,0,0,0,1
00000000003,242379673,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,67WISZ0000,67WIS     ,67        ,          ,1,OTHER,R01D02A000002,0,0.5,201532,0,0,0,1
00000000003,242840049,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,89AUXZ0000,89AUX     ,89        ,          ,1,OTHER,R01D02A000002,1,0.5,201529,0,0,0,1
00000000003,248260854,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,80DOUZ0000,80DOU     ,80        ,          ,1,OTHER,R01D02A000002,0,0.5,201532,0,0,0,1
00000000003,248420397,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,75PERZ0000,75PER     ,75        ,          ,1,OTHER,R01D02A000002,1,0.5,201532,0,0,0,1
00000000003,258357074,0.0,0.0,06        ,06F       ,06F3      ,06F3O     ,83DRAZ0002,83DRA     ,83        ,          ,1,OTHER,R01D02A000002,1,0.5,201530,0,0,0,1
00000000003,266955810,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,89JOIZ0000,89JOI     ,89        ,          ,1,OTHER,R01D02A000002,0,0.5,201532,0,0,0,1
00000000003,272907267,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,77PROZ0001,77PRO     ,77        ,          ,1,OTHER,R01D02A000002,0,0.5,201528,0,0,0,1
00000000003,275761532,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,60CREZ0002,60CRE     ,60        ,          ,1,OTHER,R01D02A000002,1,0.5,201532,0,0,0,1
00000000003,276870481,1.0,1.0,06        ,06F       ,06F3      ,06F3O     ,73CHAZ0002,73CHA     ,73        ,          ,1,OTHER,R01D02A000002,1,0.5,201529,0,0,0,1
00000000003,283437746,1.0,1.0,06        ,06F       ,06F3      ,06F3O     ,84APTZ0000,84APT     ,84        ,          ,1,OTHER,R01D02A000002,1,0.5,201532,0,0,0,1
00000000003,287768877,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,22GUIZ0001,22GUI     ,22        ,          ,1,OTHER,R01D02A000002,1,0.5,201532,0,0,1,0
00000000003,299432467,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,38VILZ0000,38VIL     ,38        ,          ,1,OTHER,R01D02A000002,1,0.5,201530,0,0,1,0
00000000003,319553729,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,75HALZ0000,75HAL     ,75        ,          ,1,OTHER,R01D02A000002,0,0.5,201532,0,0,1,0
00000000003,326300272,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,69LY3Z0000,69LY3     ,69        ,          ,1,OTHER,R01D02A000002,1,0.5,201530,0,0,1,0
00000000004,331425778,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,77MEAZ0000,77MEA     ,77        ,          ,1,OTHER,R01D02A000002,1,0.5,201532,0,0,1,0
00000000003,343948060,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,57SRBZ0000,57SRB     ,57        ,          ,1,OTHER,R01D02A000002,0,0.5,201530,0,0,1,0
00000000003,346788240,1.0,1.0,06        ,06F       ,06F3      ,06F3O     ,89AVAZ0000,89AVA     ,89        ,          ,1,OTHER,R01D02A000002,1,0.5,201532,0,0,1,0
00000000003,348150584,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,75TEMZ0000,75TEM     ,75        ,          ,1,OTHER,R01D02A000002,1,0.5,201529,0,0,1,0
00000000003,366872684,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,59ORCZ0002,59ORC     ,59        ,          ,1,OTHER,R01D02A000002,1,0.5,201528,0,0,1,0
00000000003,371250404,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,39DOLZ0001,39DOL     ,39        ,          ,1,OTHER,R01D02A000002,1,0.5,201532,0,1,0,0
00000000003,374949000,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,45GIEZ0001,45GIE     ,45        ,          ,1,OTHER,R01D02A000002,0,0.5,201530,0,1,0,0
00000000003,378832060,2.0,1.0,06        ,06F       ,06F3      ,06F3O     ,62BOUZ0000,62BOU     ,62        ,          ,1,OTHER,R01D02A000002,1,0.5,201532,0,1,0,0
00000000004,382858634,0.0,1.0,06        ,06F       ,06F3      ,06F3O     ,83DRAZ0001,83DRA     ,83        ,          ,1,OTHER,R01D02A000002,0,0.5,201530,0,1,0,0
00000000004,384909730,1.0,1.0,06        ,06F       ,06F3      ,06F3O     ,73AIXZ0001,73AIX     ,73        ,          ,1,OTHER,R01D02A000002,1,0.5,201532,0,1,0,0
00000000004,384923266,0.0,1.0,06        ,06F       ,06F3      ,06F3O     ,76LTRZ0000,76LTR     ,80        ,          ,1,OTHER,R01D02A000002,1,0.5,201529,0,1,0,0
00000000004,387751593,0.0,1.0,06        ,06F       ,06F3      ,06F3O     ,58CLAZ0002,58CLA     ,58        ,          ,1,OTHER,R01D02A000002,1,0.5,201532,0,1,0,0
00000000003,398842920,0.0,1.0,06        ,06F       ,06F3      ,06F3O     ,74BONZ0002,74BON     ,74        ,          ,1,OTHER,R01D02A000002,1,0.5,201530,0,1,0,0
00000000003,431789930,1.0,0.0,06        ,06F       ,06F3      ,06F3O     ,63AMBZ0002,63AMB     ,63        ,          ,1,OTHER,R01D02A000002,1,0.5,201531,1,0,0,0
00000000004,434802058,0.0,1.0,06        ,06F       ,06F3      ,06F3O     ,91PALZ0000,91PAL     ,91        ,          ,1,OTHER,R01D02A000002,1,0.5,201531,1,0,0,0
00000000003,441434041,0.0,0.0,06        ,06F       ,06F3      ,06F3O     ,62AUCZ0000,62AUC     ,62        ,          ,1,OTHER,R01D02A000002,1,0.5,201528,1,0,0,0
00000000003,442774106,0.0,1.0,06        ,06F       ,06F3      ,06F3O     ,33SMEZ0000,33SME     ,33        ,          ,1,OTHER,R01D02A000002,0,0.5,201531,1,0,0,0